Id,Subject,MainText,SubjectSpam,MainTextSpam,SpamStatus
99_4863_4,rating,It's cool with me,2,2,2
99_4864_4,rating,Great zoom function for Galaxy tab 2 Only 3 stars because focus is blurry when you zoom in on a picture ,2,2,2
99_4865_4,rating,Good Its nice,2,2,2
99_4866_4,rating,Gr8 Gk,2,2,2
99_4867_4,rating,Lilli Cool,2,2,2
99_4868_4,rating,Getting better,2,2,2
99_4869_4,rating,Average,2,2,2
99_4871_4,rating,Boo I don't like the annual subscription cost so I won't upgrade to pro I'd gladly pay a one time fee but apparently that's not an option anymore ,2,2,2
99_4872_4,rating,Can't believe I paid for this Kingsoft is better ,2,2,2
99_4873_4,rating,Simply good,2,2,2
99_4874_4,rating,Yea Yea,2,2,2
99_4875_4,rating,Are you kidding me Its a good game but I just bought it and now it 80 off Really ,2,2,2
99_4876_4,rating,Samsung galaxy s4 Cute app,2,2,2
99_4877_4,rating,good job its far better than other apps but needs to still work on frames and more effects ,2,2,2
99_4878_4,rating,Seems ok will see,2,2,2
99_4879_4,rating,Is gud Nice ,2,2,2
99_4880_4,rating,Bakwas,2,2,2
99_4881_4,rating,Good,2,2,2
99_4882_4,rating,Shark dull,2,2,2
99_4883_4,rating,Okay This game is great Can't what for the new one,2,2,2
99_4887_4,rating,Not bad It is fast and smooth but it could use a restyling,2,2,2
99_4889_4,rating, Not bad,2,2,2
99_4890_4,rating,Ok Ok,2,2,2
99_4893_4,rating,very useful and active I choice it,2,2,2
99_4895_4,rating,Not safe brouse,2,2,2
99_4897_4,rating,Good Very good,2,2,2
99_4898_4,rating,useful force close,2,2,2
99_4899_4,rating,Pritty good overall Could use some more scenes from movies ,2,2,2
99_4900_4,rating,Love it m o,2,2,2
99_4901_4,rating,Good but bad,2,2,2
99_4902_4,rating,Keep going Needs better tagging,2,2,2
99_4904_4,rating,good aplication kereeeeennnnnn,2,2,2
99_4905_4,rating,Nice Nice aplikasi,2,2,2
99_4906_4,rating, 3 One wrd to say Cool,2,2,2
99_4907_4,rating,I love the makeup options I will rate it with 5 stars once I'm able to do the hair,2,2,2
99_4908_4,rating,So nice Nice,2,2,2
99_4909_4,rating,Useful Apps Okay,2,2,2
99_4911_4,rating,Good Its very excellent ,2,2,2
99_4912_4,rating,Well The size is good,2,2,2
99_4913_4,rating,Great app ,2,2,2
99_4914_4,rating,Ok Not that much good,2,2,2
99_4915_4,rating,good job,2,2,2
99_4916_4,rating,fantastic great app,2,2,2
99_4917_4,rating,Nice Great,2,2,2
99_4920_4,rating,Super Super,2,2,2
99_4921_4,rating,Hi Cool,2,2,2
99_4922_4,rating,It'sNice aap Good,2,2,2
99_4923_4,rating,This is a good app Nice,2,2,2
99_4924_4,rating,app good i like,2,2,2
99_4925_4,rating,Andrew Excellent scanning app ,2,2,2
99_4926_4,rating,Line Want,2,2,2
99_4927_4,rating,cute,2,2,2
99_4929_4,rating,Its cool Nice,2,2,2
99_4930_4,rating,Good Others have to try,2,2,2
99_4931_4,rating,Fun app A simple and fun app Everyone needs to give it a try ,2,2,2
99_4932_4,rating,Good Good,2,2,2
99_4933_4,rating,Good Nice app But it keeps breaking up Dont know why but just bcoz of this prblm i could have given 5 stars Nice work by avairy team ,2,2,2
99_4934_4,rating,Hi am nasi Its very good for all,2,2,2
99_4935_4,rating,Good Thank,2,2,2
99_4937_4,rating,Awesome y It is really too good 3,2,2,2
99_4940_4,rating,Ghh,2,2,2
99_4943_4,rating,Great game Love the gameplay,2,2,2
99_4946_4,rating,Just a better all around browser That makes en e ,2,2,2
99_4947_4,rating,Nice Nice,2,2,2
99_4948_4,rating,Good Good but takes up too mucg space,2,2,2
99_4949_4,rating,Pretty good Awesome graphics,2,2,2
99_4950_4,rating, 4 Nice,2,2,2
99_4951_4,rating,Nice Pretty nice app,2,2,2
99_4952_4,rating,Class Good Be sure to like my page 'batman arkham origins the game ',2,2,2
99_4953_4,rating,It rock The is rule,2,2,2
99_4954_4,rating,Nice one Interesting,2,2,2
99_4955_4,rating,Nice app Would be better with more mods,2,2,2
99_4956_4,rating,This app is good,2,2,2
99_4957_4,rating,Works well Good application,2,2,2
99_4958_4,rating,Love it Great browser I prefer Chrome because it seems a little less touchy that Firefox but I just need to get used to it ,2,2,2
99_4959_4,rating,Good app Useful for my needs ,2,2,2
99_4960_4,rating,very creative very good nice work ,2,2,2
99_4961_4,rating,Addicted Good game ducked me in got new phone trying to recover doc isn't easy,2,2,2
99_4962_4,rating,Great Awesome,2,2,2
99_4964_4,rating,Good Just started using xD,2,2,2
99_4966_4,rating,Good Goodd,2,2,2
99_4967_4,rating, D Not bad ,2,2,2
99_4968_4,rating,Love it easy accesss,2,2,2
99_4969_4,rating,Amazing I love using skype so I can video with family x,2,2,2
